"plate_well","plate","well","identifier","hit","welltype","create_date","fp","fp_1","fi","fi_1","p","p_1","s","s_1"
"1799F17","1799","F17","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799F17","1","X","2015-08-31 19:12","227.9","217.9","55365162.0","56171498.0","23883943.0","24301502.0","7597276.0","7568494.0"
"1798D07","1798","D07","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1798D07","0","X","2015-08-31 19:12","216.9","214.2","45829737.0","45833429.0","19832930.0","19849327.0","6163877.0","6134775.0"
"1798N21","1798","N21","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1798N21","1","X","2015-08-31 19:12","175.5","178.0","39155631.0","39009153.0","17135018.0","17059843.0","4885595.0","4889467.0"
"1798M17","1798","M17","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1798M17","1","X","2015-08-31 19:12","173.8","176.6","48313412.0","48811321.0","21151766.0","21354218.0","6009880.0","6102885.0"
"1798O07","1798","O07","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1798O07","1","X","2015-08-31 19:12","155.7","159.8","55092127.0","52388021.0","24229756.0","23016842.0","6632615.0","6354337.0"
"1797M13","1797","M13","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1797M13","1","X","2015-08-31 19:12","213.9","204.4","29826196.0","29937257.0","12918281.0","13000741.0","3989634.0","3935775.0"
"1797G03","1797","G03","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1797G03","1","X","2015-08-31 19:12","193.2","187.5","77053228.0","77938255.0","33562970.0","33999692.0","9927288.0","9938871.0"
"1796D02","1796","D02","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1796D02","1","X","2015-08-31 19:12","208.4","211.3","88873851.0","86568255.0","38551765.0","37521688.0","11770321.0","11524879.0"
"1796M04","1796","M04","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1796M04","1","X","2015-08-31 19:12","195.7","202.4","49614529.0","49275783.0","21596921.0","21410032.0","6420687.0","6455719.0"
"1796B02","1796","B02","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1796B02","1","X","2015-08-31 19:12","193.0","195.5","96675849.0","95986368.0","42111927.0","41783895.0","12451995.0","12418578.0"
"1795M15","1795","M15","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1795M15","1","X","2015-08-31 19:12","197.0","202.9","124844722.0","118843408.0","54324851.0","51630622.0","16195020.0","15582164.0"
"1795A20","1795","A20","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1795A20","1","X","2015-08-31 19:12","156.5","161.1","81344712.0","80099916.0","35768667.0","35180389.0","9807378.0","9739138.0"
"1799P24","1799","P24","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799P24","0","N","2015-08-31 19:12","268.8","249.9","86652100.0","49500598.0","36920016.0","21215206.0","12812068.0","7070186.0"
"1799P22","1799","P22","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799P22","0","X","2015-08-31 19:12","263.2","262.4","49064009.0","48581624.0","20941809.0","20741109.0","7180391.0","7099406.0"
"1799P21","1799","P21","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799P21","0","X","2015-08-31 19:12","255.7","262.9","48637088.0","47747382.0","20807981.0","20381421.0","7021126.0","6984540.0"
"1799P20","1799","P20","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799P20","0","X","2015-08-31 19:12","243.0","267.8","51441569.0","49749465.0","22092853.0","21203559.0","7255863.0","7342347.0"
"1799P19","1799","P19","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799P19","0","X","2015-08-31 19:12","266.5","267.0","48041952.0","47766555.0","20483837.0","20363341.0","7074278.0","7039873.0"
"1799P18","1799","P18","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799P18","0","X","2015-08-31 19:12","264.9","264.3","48677265.0","48556240.0","20765720.0","20717698.0","7145825.0","7120844.0"
"1799P17","1799","P17","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799P17","0","X","2015-08-31 19:12","266.9","264.8","48338212.0","48286446.0","20607913.0","20599607.0","7122386.0","7087232.0"
